genes,grRateKO
Rv2231c,0.0584003656763104
Rv1600,0.0584003656763104
Rv3772,0.0584003656763104
Rv3624c,0.0584003656763104
Rv0486,1.91910619060879e-11
Rv3339c,0.0584003656763104
Rv0066c,0.0584003656763104
Rv3215,-6.63446691979222e-30
Rv1916,0.0584003656763104
Rv0467,0.0584003656763104
Rv1915,0.0584003656763104
Rv1605,0
Rv1170,1.91910619060879e-11
Rv1601,0
Rv1611,6.72623437651148e-31
Rv2210c,0
Rv1843c,-1.2684772682682e-16
Rv3410c,-1.2684772682682e-16
Rv3411c,-1.2684772682682e-16
Rv0853c,0.0584003656763104
Rv3393,0
Rv1745c,0.0584003656763104
Rv2995c,0
Rv2987c,0
Rv2988c,0
Rv3710,0
Rv3001c,5.31568605108206e-29
Rv1031,0.0584003656763104
Rv1030,0.0584003656763104
Rv1029,0.0584003656763104
Rv2691,0.0584003656763104
Rv2692,0.0584003656763104
Rv2316,0.0584003656763104
Rv2317,0.0584003656763104
Rv2318,0.0584003656763104
Rv0694,0.0583262971182014
Rv0183,0.0584003656763104
Rv0873,0.0584003656763104
Rv3564,0.0584003656763104
Rv2789c,0.0584003656763104
Rv3563,0.0584003656763104
Rv3274c,0.0584003656763104
Rv0752c,0.0584003656763104
Rv0215c,0.0584003656763104
Rv1872c,0.0584003656763104
Rv1902c,0.0584003656763104
Rv0191,0.0584003656763104
Rv1837c,0.0584003656763104
Rv2471,0.0584003656763104
Rv3264c,0
Rv3255c,0
Rv2611c,0
Rv2380c,0.0584003656763104
Rv2379c,0.0584003656763104
Rv2384,0.0584003656763104
Rv2382c,0.0584003656763104
Rv2378c,0.0584003656763104
Rv2383c,0.0584003656763104
Rv2381c,0.0584003656763104
Rv1347c,0.0584003656763104
Rv2243,0
Rv1240,0.058400365676307
Rv2332,0.0584003656763104
Rv3581c,5.83831965797893e-30
Rv3582c,5.83831965797893e-30
Rv1392,0
Rv2124c,1.51517849286359e-30
Rv0137c,0.0584003656763104
Rv2674,0.0584003656763104
Rv1133c,1.51517849286359e-30
Rv1604,0.0584003656763104
Rv2701c,0.0584003656763104
Rv0046c,1.91910619060879e-11
Rv1322A,0.0584003656763104
Rv0855,0.0584003656763104
Rv1493,0.0584003656763104
Rv1492,0.0584003656763104
Rv0753c,0.0584003656763119
Rv1692,0.0584003656763104
Rv2225,-2.91608172852044e-15
Rv1562c,0.0584003656763104
Rv1563c,0.0584003656763104
Rv0958,0.0584003656763104
Rv1082,0.0584003656763104
Rv0819,1.91910619060879e-11
Rv3356c,-1.17935033990279e-12
Rv0126,0.0584003656763104
Rv0470c,0
Rv0644c,0
Rv0503c,0.0584003656763104
Rv0645c,0.0584003656763104
Rv0642c,0.0584003656763104
Rv3800c,0
Rv2245,0
Rv0098,0.0584003656763104
Rv2246,0
Rv1483,0.0584003656763104
Rv3158,0.0584003656763104
Rv3150,0.0584003656763104
Rv3148,0.0584003656763104
Rv3153,0.0584003656763104
Rv3152,0.0584003656763104
Rv3147,0.0584003656763104
Rv3157,0.0584003656763104
Rv3145,0.0584003656763104
Rv3155,0.0584003656763104
Rv3156,0.0584003656763104
